,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,trainsize,repl,start_time,end_time,metric:acc [0.0; 1.0] (maximize),seed,status,config_id
9,0.0009118819655545162,dart,1096.6331584284585,2981,impute.mean,1.0,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15.0,2.718281828459045,1.0,0.0,1.0,10,300.0,333.3333333333333,0.9543268,2025,success,9
10,0.0009118819655545162,dart,0.0009118819655545162,7,impute.hist,1.0,1.0,0.01,1.0,7.38905609893065,15.0,2.718281828459045,1.0,0.0,1.0,10,333.3333333333333,366.66666666666663,0.23818816,2025,success,10
11,1096.6331584284585,dart,0.0009118819655545162,2981,impute.mean,1.0,0.01,1.0,0.0009118819655545162,4.5399929762484854e-05,15.0,148.4131591025766,1.0,0.0,1.0,10,366.66666666666663,399.99999999999994,0.60036033,2025,success,11
12,1096.6331584284585,dart,0.0009118819655545162,2981,impute.mean,0.1,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,1.0,2.718281828459045,0.0,0.0,1.0,10,399.99999999999994,433.33333333333326,0.10661032,2025,success,12
13,0.0009118819655545162,gbtree,0.0009118819655545162,7,impute.median,1.0,0.01,0.01,1.0,4.5399929762484854e-05,1.0,2.718281828459045,0.5,0.5,1.0,10,433.33333333333326,466.6666666666666,0.52787536,2025,success,13
14,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.hist,0.1,1.0,1.0,0.0009118819655545162,7.38905609893065,1.0,2.718281828459045,1.0,0.0,1.0,10,466.6666666666666,499.9999999999999,0.9908298,2025,success,14
15,1096.6331584284585,dart,0.0009118819655545162,7,impute.mean,0.1,0.01,0.01,1.0,7.38905609893065,1.0,148.4131591025766,0.0,1.0,1.0,10,499.9999999999999,533.3333333333333,0.07522593,2025,success,15
16,1096.6331584284585,dart,1096.6331584284585,2981,impute.hist,1.0,0.01,1.0,1.0,7.38905609893065,15.0,2.718281828459045,1.0,1.0,1.0,10,533.3333333333333,566.6666666666666,0.18549123,2025,success,16
17,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.median,1.0,0.01,0.01,1.0,4.5399929762484854e-05,15.0,148.4131591025766,0.0,0.0,1.0,10,566.6666666666666,600.0,0.8026005,2025,success,17
18,0.0009118819655545162,dart,1096.6331584284585,7,impute.hist,0.1,0.01,0.01,0.0009118819655545162,7.38905609893065,1.0,2.718281828459045,1.0,0.0,1.0,10,600.0,633.3333333333334,0.093761176,2025,success,18
19,0.0009118819655545162,dart,1096.6331584284585,7,impute.hist,0.1,0.01,0.01,1.0,4.5399929762484854e-05,15.0,2.718281828459045,0.0,1.0,1.0,10,633.3333333333334,666.6666666666667,0.61319584,2025,success,19
